INFO 2025-04-08 00:20:26,418 autoreload Watching for file changes with StatReloader
INFO 2025-04-08 00:32:41,140 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/activities/ HTTP/1.1" 200 2
INFO 2025-04-08 00:32:41,369 basehttp "GET /api/lead-notes/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 674
INFO 2025-04-08 00:32:41,438 basehttp "GET /api/auth/branches/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 200 577
WARNING 2025-04-08 00:32:41,768 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:32:41,769 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
WARNING 2025-04-08 00:32:41,841 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:32:41,843 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
INFO 2025-04-08 00:32:42,965 basehttp "GET /api/auth/users/ HTTP/1.1" 200 3456
INFO 2025-04-08 00:32:43,650 basehttp "GET /api/leads/ HTTP/1.1" 200 10198
INFO 2025-04-08 00:32:44,145 basehttp "GET /api/auth/users/ HTTP/1.1" 200 3456
INFO 2025-04-08 00:32:46,598 basehttp "GET /api/leads/ HTTP/1.1" 200 10198
WARNING 2025-04-08 00:51:02,561 log Unauthorized: /api/flights/
WARNING 2025-04-08 00:51:02,563 log Unauthorized: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:51:02,565 log Unauthorized: /api/auth/branches/
WARNING 2025-04-08 00:51:02,576 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 401 183
WARNING 2025-04-08 00:51:02,577 basehttp "GET /api/flights/ HTTP/1.1" 401 183
WARNING 2025-04-08 00:51:02,581 log Unauthorized: /api/lead-documents/
WARNING 2025-04-08 00:51:02,581 basehttp "GET /api/auth/branches/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 401 183
WARNING 2025-04-08 00:51:02,586 log Unauthorized: /api/leads/
WARNING 2025-04-08 00:51:02,591 log Unauthorized: /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/activities/
WARNING 2025-04-08 00:51:02,593 basehttp "GET /api/lead-documents/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 401 183
